order_id,order_date,brand,category,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,sales_channel,country,customer_income_level,year,month
ORD100198,2025-04-24,Nike,Basketball,167,10,150.3,3,450.9,Retail Store,India,High,2025,4
ORD100199,2026-06-01,Nike,Lifestyle,147,0,147.0,1,147.0,Online,USA,Medium,2026,6
ORD100205,2025-01-24,Nike,Running,172,5,163.4,2,326.8,Retail Store,UK,High,2025,1
ORD100221,2026-01-15,Nike,Training,168,5,159.6,3,478.8,Online,UAE,High,2026,1
ORD100245,2026-01-11,New Balance,Lifestyle,211,10,189.9,4,759.6,Retail Store,India,Low,2026,1
ORD100246,2026-12-01,Puma,Basketball,96,10,86.4,4,345.6,Online,UAE,Medium,2026,12
ORD100249,2026-09-08,Nike,Lifestyle,93,30,65.1,3,195.3,Online,UAE,Medium,2026,9
ORD100253,2026-03-27,Adidas,Running,62,20,49.6,2,99.2,Retail Store,India,Medium,2026,3
ORD100255,2025-04-15,Adidas,Basketball,132,0,132.0,1,132.0,Online,UAE,Low,2025,4
ORD100266,2025-11-20,New Balance,Running,88,0,88.0,3,264.0,Retail Store,UK,Medium,2025,11
ORD100270,2025-08-27,Nike,Running,140,5,133.0,4,532.0,Retail Store,Germany,Medium,2025,8
ORD100272,2026-09-16,Nike,Basketball,65,10,58.5,4,234.0,Retail Store,UAE,Low,2026,9
ORD100277,2025-11-04,Nike,Gym,136,20,108.8,4,435.2,Retail Store,UAE,Medium,2025,11
ORD100282,2026-05-20,Reebok,Training,81,15,68.85,4,275.4,Online,Pakistan,High,2026,5
ORD100289,2025-06-15,Adidas,Gym,74,20,59.2,1,59.2,Online,UK,High,2025,6
ORD100291,2026-12-22,ASICS,Lifestyle,151,20,120.8,1,120.8,Online,USA,Low,2026,12
ORD100301,2026-06-20,Reebok,Running,131,10,117.9,4,471.6,Retail Store,India,High,2026,6
ORD100302,2025-10-23,Reebok,Basketball,77,30,53.9,4,215.6,Online,UAE,High,2025,10
ORD100306,2026-02-02,Reebok,Running,207,0,207.0,2,414.0,Online,India,High,2026,2
ORD100307,2025-06-26,Puma,Basketball,92,0,92.0,1,92.0,Online,India,High,2025,6
ORD100309,2026-06-21,Puma,Running,202,5,191.9,2,383.8,Online,India,High,2026,6
ORD100313,2026-09-06,Adidas,Lifestyle,191,30,133.7,2,267.4,Online,India,Medium,2026,9
ORD100318,2026-10-16,New Balance,Training,209,20,167.2,4,668.8,Retail Store,Germany,Low,2026,10
ORD100323,2025-01-04,New Balance,Training,164,15,139.4,2,278.8,Online,UAE,Medium,2025,1
ORD100329,2025-01-07,New Balance,Lifestyle,184,30,128.8,4,515.2,Online,USA,Low,2025,1
ORD100339,2025-06-27,ASICS,Running,118,20,94.4,1,94.4,Online,USA,Medium,2025,6
ORD100341,2025-06-03,Puma,Training,109,20,87.2,1,87.2,Retail Store,USA,Medium,2025,6
ORD100346,2025-04-15,Puma,Gym,217,5,206.15,2,412.3,Retail Store,India,Medium,2025,4
ORD100351,2026-09-27,Puma,Lifestyle,132,20,105.6,1,105.6,Online,Germany,High,2026,9
ORD100352,2026-05-17,Reebok,Lifestyle,157,20,125.6,2,251.2,Retail Store,UAE,Low,2026,5
ORD100366,2025-05-14,ASICS,Lifestyle,203,5,192.85,4,771.4,Retail Store,Pakistan,Low,2025,5
ORD100368,2026-01-06,Nike,Running,154,15,130.9,2,261.8,Online,Germany,Medium,2026,1
ORD100369,2025-01-13,Adidas,Running,115,0,115.0,2,230.0,Retail Store,Pakistan,Low,2025,1
ORD100373,2025-06-24,Nike,Basketball,68,5,64.6,4,258.4,Online,Pakistan,High,2025,6
ORD100376,2026-09-22,Adidas,Gym,206,15,175.1,2,350.2,Retail Store,USA,Low,2026,9
ORD100377,2025-01-10,Nike,Training,108,10,97.2,4,388.8,Online,Germany,Low,2025,1
ORD100395,2026-10-21,Puma,Basketball,91,0,91.0,1,91.0,Online,Pakistan,Medium,2026,10
ORD100398,2026-03-02,ASICS,Lifestyle,126,15,107.1,2,214.2,Online,USA,High,2026,3
ORD100402,2026-04-30,Reebok,Lifestyle,217,30,151.9,2,303.8,Retail Store,UAE,High,2026,4
ORD100404,2026-08-23,New Balance,Training,79,5,75.05,4,300.2,Retail Store,Pakistan,Low,2026,8
ORD100406,2026-02-20,Nike,Gym,139,30,97.3,2,194.6,Online,Pakistan,Medium,2026,2
ORD100416,2026-09-02,New Balance,Basketball,183,30,128.1,3,384.3,Retail Store,Germany,High,2026,9
ORD100419,2026-07-20,Adidas,Basketball,189,30,132.3,3,396.9,Online,Germany,Low,2026,7
ORD100425,2025-11-04,Nike,Training,164,0,164.0,4,656.0,Retail Store,UAE,Medium,2025,11
ORD100429,2025-11-11,Nike,Basketball,219,15,186.15,1,186.15,Online,Pakistan,Medium,2025,11
ORD100436,2025-09-01,New Balance,Training,108,15,91.8,2,183.6,Retail Store,Germany,High,2025,9
ORD100447,2026-07-23,New Balance,Running,72,5,68.4,2,136.8,Retail Store,Germany,Medium,2026,7
ORD100448,2025-10-10,Adidas,Gym,86,5,81.7,3,245.1,Retail Store,India,Low,2025,10
ORD100450,2025-02-05,Nike,Lifestyle,62,30,43.4,3,130.2,Online,Germany,High,2025,2
ORD100457,2025-11-09,New Balance,Training,180,5,171.0,1,171.0,Retail Store,Pakistan,High,2025,11
ORD100461,2025-12-27,Reebok,Gym,63,15,53.55,1,53.55,Retail Store,India,Medium,2025,12
ORD100463,2026-11-21,Adidas,Running,114,15,96.9,4,387.6,Online,Pakistan,Medium,2026,11
ORD100464,2026-09-22,Reebok,Basketball,217,5,206.15,3,618.45,Retail Store,UAE,High,2026,9
ORD100468,2026-06-30,Reebok,Running,172,10,154.8,4,619.2,Online,India,High,2026,6
ORD100469,2026-04-10,Adidas,Running,177,20,141.6,1,141.6,Online,USA,High,2026,4
ORD100472,2025-04-17,Adidas,Running,120,5,114.0,2,228.0,Online,UAE,High,2025,4
ORD100477,2025-07-29,Nike,Gym,98,5,93.1,3,279.3,Online,UK,Medium,2025,7
ORD100480,2026-05-30,ASICS,Gym,167,5,158.65,2,317.3,Online,UAE,Medium,2026,5
ORD100485,2025-02-20,New Balance,Gym,207,20,165.6,2,331.2,Online,India,High,2025,2
ORD100491,2025-02-28,New Balance,Lifestyle,102,0,102.0,3,306.0,Retail Store,UAE,Medium,2025,2
ORD100503,2025-09-19,ASICS,Training,100,15,85.0,1,85.0,Retail Store,India,Low,2025,9
ORD100507,2026-11-27,Puma,Running,67,20,53.6,4,214.4,Online,India,Low,2026,11
ORD100514,2025-09-01,Reebok,Basketball,180,10,162.0,2,324.0,Retail Store,India,Medium,2025,9
ORD100526,2026-04-15,Reebok,Running,150,5,142.5,4,570.0,Online,USA,High,2026,4
ORD100536,2026-11-29,ASICS,Gym,179,20,143.2,2,286.4,Retail Store,Germany,Low,2026,11
ORD100537,2025-09-10,Nike,Training,70,30,49.0,2,98.0,Retail Store,USA,Low,2025,9
ORD100542,2025-06-07,Nike,Running,80,10,72.0,2,144.0,Retail Store,UK,Medium,2025,6
ORD100543,2026-03-15,Puma,Training,191,15,162.35,4,649.4,Retail Store,UK,Low,2026,3
ORD100552,2025-06-01,Nike,Gym,113,30,79.1,1,79.1,Retail Store,USA,Medium,2025,6
ORD100563,2026-09-07,Adidas,Basketball,98,15,83.3,3,249.9,Online,Pakistan,Low,2026,9
ORD100568,2026-05-18,Adidas,Lifestyle,80,30,56.0,3,168.0,Online,USA,Medium,2026,5
ORD100569,2025-12-05,Puma,Lifestyle,178,0,178.0,1,178.0,Retail Store,Germany,Low,2025,12
ORD100573,2025-02-14,Reebok,Gym,66,15,56.1,1,56.1,Online,UK,Low,2025,2
ORD100588,2025-01-12,New Balance,Lifestyle,127,10,114.3,1,114.3,Retail Store,USA,Medium,2025,1
ORD100590,2026-09-15,Nike,Running,141,30,98.7,1,98.7,Online,Pakistan,Low,2026,9
ORD100598,2026-11-25,ASICS,Gym,141,15,119.85,3,359.55,Online,UK,Low,2026,11
ORD100606,2026-01-14,New Balance,Running,89,10,80.1,1,80.1,Online,UK,High,2026,1
ORD100609,2025-03-06,ASICS,Running,82,0,82.0,2,164.0,Retail Store,UK,Medium,2025,3
ORD100612,2026-03-08,Puma,Basketball,125,0,125.0,3,375.0,Online,Pakistan,Medium,2026,3
ORD100617,2026-11-10,Reebok,Training,80,10,72.0,1,72.0,Online,India,Low,2026,11
ORD100621,2026-12-05,New Balance,Basketball,63,20,50.4,3,151.2,Retail Store,USA,Medium,2026,12
ORD100624,2025-08-03,Puma,Running,152,5,144.4,2,288.8,Online,USA,Low,2025,8
ORD100628,2025-06-10,Adidas,Lifestyle,141,10,126.9,1,126.9,Online,India,High,2025,6
ORD100631,2026-07-21,ASICS,Basketball,208,10,187.2,1,187.2,Online,UAE,Low,2026,7
ORD100638,2026-03-21,Adidas,Training,159,20,127.2,3,381.6,Online,UK,Medium,2026,3
ORD100646,2025-10-04,New Balance,Running,88,10,79.2,1,79.2,Retail Store,Pakistan,High,2025,10
ORD100652,2025-09-16,New Balance,Training,67,0,67.0,3,201.0,Online,UAE,High,2025,9
ORD100657,2026-02-04,Reebok,Lifestyle,165,0,165.0,2,330.0,Online,Germany,High,2026,2
ORD100661,2026-06-06,ASICS,Running,85,0,85.0,2,170.0,Retail Store,Germany,Medium,2026,6
ORD100662,2026-01-31,Reebok,Running,113,0,113.0,2,226.0,Online,India,Low,2026,1
ORD100665,2026-05-10,Nike,Lifestyle,200,30,140.0,3,420.0,Online,Pakistan,High,2026,5
ORD100668,2026-10-10,ASICS,Running,158,15,134.3,4,537.2,Online,UK,High,2026,10
ORD100673,2026-05-22,ASICS,Basketball,200,5,190.0,4,760.0,Retail Store,USA,Low,2026,5
ORD100674,2025-11-20,Reebok,Lifestyle,124,10,111.6,3,334.8,Retail Store,UAE,Low,2025,11
ORD100679,2025-03-25,ASICS,Training,69,15,58.65,1,58.65,Online,Germany,High,2025,3
ORD100695,2025-09-18,ASICS,Training,175,20,140.0,1,140.0,Online,UK,High,2025,9
ORD100698,2025-05-06,ASICS,Lifestyle,62,10,55.8,2,111.6,Retail Store,India,Medium,2025,5
ORD100701,2026-05-24,Nike,Gym,171,10,153.9,3,461.7,Retail Store,India,High,2026,5
ORD100709,2025-06-21,ASICS,Lifestyle,185,0,185.0,1,185.0,Online,UAE,Low,2025,6
ORD100713,2025-10-16,Nike,Running,187,15,158.95,2,317.9,Online,USA,Low,2025,10
ORD100715,2025-07-16,Adidas,Training,191,10,171.9,1,171.9,Online,Germany,Low,2025,7
ORD100717,2026-01-29,Nike,Running,72,30,50.4,3,151.2,Retail Store,UK,Medium,2026,1
ORD100718,2026-04-14,New Balance,Gym,102,5,96.9,1,96.9,Online,Pakistan,Low,2026,4
ORD100720,2025-09-28,New Balance,Gym,178,10,160.2,2,320.4,Retail Store,India,High,2025,9
ORD100724,2026-11-04,Puma,Basketball,118,0,118.0,2,236.0,Retail Store,UK,Medium,2026,11
ORD100730,2026-06-03,New Balance,Running,141,5,133.95,4,535.8,Retail Store,USA,Low,2026,6
ORD100731,2026-09-29,New Balance,Lifestyle,130,10,117.0,3,351.0,Retail Store,UAE,Low,2026,9
ORD100732,2025-04-20,Nike,Basketball,61,15,51.85,4,207.4,Online,USA,Medium,2025,4
ORD100733,2026-08-17,ASICS,Lifestyle,98,10,88.2,1,88.2,Retail Store,USA,High,2026,8
ORD100734,2026-12-09,Puma,Training,100,30,70.0,4,280.0,Online,USA,Medium,2026,12
ORD100736,2025-04-12,ASICS,Running,193,10,173.7,2,347.4,Retail Store,UAE,Medium,2025,4
ORD100738,2026-02-24,Reebok,Basketball,216,15,183.6,1,183.6,Retail Store,UAE,Low,2026,2
ORD100739,2026-04-27,New Balance,Running,112,10,100.8,2,201.6,Online,India,Medium,2026,4
ORD100743,2026-01-15,Reebok,Training,165,30,115.5,4,462.0,Retail Store,India,Medium,2026,1
ORD100750,2025-06-08,ASICS,Basketball,93,10,83.7,1,83.7,Online,USA,Medium,2025,6
ORD100760,2025-07-22,ASICS,Basketball,147,15,124.95,4,499.8,Retail Store,India,Low,2025,7
ORD100761,2026-09-21,ASICS,Gym,180,0,180.0,2,360.0,Retail Store,Germany,High,2026,9
ORD100762,2025-01-08,Puma,Training,192,0,192.0,2,384.0,Retail Store,India,Medium,2025,1
ORD100775,2026-12-24,Puma,Training,181,5,171.95,3,515.85,Online,Pakistan,High,2026,12
ORD100777,2026-11-04,New Balance,Running,177,30,123.9,4,495.6,Online,Germany,Low,2026,11
ORD100783,2026-07-04,Puma,Basketball,121,0,121.0,3,363.0,Retail Store,USA,High,2026,7
ORD100796,2026-09-08,Puma,Gym,218,15,185.3,2,370.6,Online,India,Low,2026,9
ORD100801,2026-11-13,Reebok,Training,149,15,126.65,2,253.3,Online,India,Low,2026,11
ORD100803,2025-01-07,Adidas,Training,67,10,60.3,1,60.3,Retail Store,Germany,Medium,2025,1
ORD100805,2026-07-29,ASICS,Basketball,139,0,139.0,2,278.0,Retail Store,India,Low,2026,7
ORD100809,2026-06-16,Nike,Basketball,169,20,135.2,3,405.6,Online,UAE,Medium,2026,6
ORD100810,2025-08-09,ASICS,Basketball,191,30,133.7,4,534.8,Online,USA,Low,2025,8
ORD100814,2026-06-05,New Balance,Lifestyle,216,20,172.8,2,345.6,Online,Germany,Medium,2026,6
ORD100816,2025-08-23,Nike,Lifestyle,90,10,81.0,4,324.0,Online,UAE,High,2025,8
ORD100819,2026-04-02,Puma,Basketball,217,15,184.45,4,737.8,Retail Store,Germany,Low,2026,4
ORD100821,2025-09-12,Reebok,Running,219,10,197.1,2,394.2,Online,Germany,High,2025,9
ORD100824,2025-05-31,New Balance,Gym,212,15,180.2,4,720.8,Retail Store,UK,High,2025,5
ORD100825,2026-09-19,New Balance,Gym,87,20,69.6,3,208.8,Online,Pakistan,Low,2026,9
ORD100834,2026-10-11,Nike,Running,79,30,55.3,2,110.6,Retail Store,USA,High,2026,10
ORD100836,2026-11-03,ASICS,Running,125,15,106.25,2,212.5,Online,UAE,Low,2026,11
ORD100840,2025-06-02,Reebok,Gym,214,20,171.2,3,513.6,Retail Store,UK,High,2025,6
ORD100842,2025-06-22,ASICS,Basketball,154,20,123.2,2,246.4,Retail Store,USA,Medium,2025,6
ORD100848,2026-03-23,New Balance,Gym,163,10,146.7,2,293.4,Online,India,Medium,2026,3
ORD100849,2026-08-03,ASICS,Training,119,5,113.05,3,339.15,Online,Germany,High,2026,8
ORD100856,2025-09-24,Adidas,Gym,148,5,140.6,3,421.8,Retail Store,UAE,Medium,2025,9
ORD100861,2026-08-14,Nike,Training,168,0,168.0,1,168.0,Online,Germany,Low,2026,8
ORD100862,2026-05-20,Adidas,Running,149,30,104.3,3,312.9,Retail Store,Pakistan,High,2026,5
ORD100865,2026-10-29,Nike,Basketball,209,20,167.2,2,334.4,Online,UAE,Medium,2026,10
ORD100874,2025-06-23,Nike,Training,178,5,169.1,2,338.2,Online,Pakistan,High,2025,6
ORD100882,2026-02-23,Adidas,Running,101,30,70.7,3,212.1,Retail Store,India,High,2026,2
ORD100883,2026-01-17,Adidas,Basketball,219,5,208.05,1,208.05,Retail Store,USA,High,2026,1
ORD100888,2026-12-13,Reebok,Training,97,20,77.6,3,232.8,Retail Store,Germany,Low,2026,12
ORD100890,2025-08-28,Adidas,Lifestyle,164,15,139.4,3,418.2,Online,USA,Low,2025,8
ORD100894,2026-06-01,Nike,Training,178,30,124.6,1,124.6,Online,UAE,Low,2026,6
ORD100895,2025-05-05,Puma,Basketball,211,30,147.7,2,295.4,Online,Germany,High,2025,5
ORD100900,2025-11-01,ASICS,Gym,181,20,144.8,1,144.8,Retail Store,UAE,High,2025,11
ORD100911,2025-05-05,Puma,Gym,90,15,76.5,1,76.5,Online,UAE,High,2025,5
ORD100918,2026-04-12,Nike,Training,119,30,83.3,1,83.3,Online,USA,High,2026,4
ORD100935,2025-09-22,Nike,Training,204,15,173.4,3,520.2,Retail Store,UAE,Low,2025,9
ORD100943,2025-02-17,New Balance,Lifestyle,70,20,56.0,1,56.0,Retail Store,USA,Medium,2025,2
ORD100947,2026-02-16,Adidas,Training,107,5,101.65,4,406.6,Retail Store,Germany,Medium,2026,2
ORD100955,2026-10-05,Puma,Gym,88,15,74.8,1,74.8,Online,UAE,High,2026,10
ORD100957,2025-05-08,Reebok,Training,93,20,74.4,3,223.2,Online,Germany,High,2025,5
ORD100958,2025-08-24,ASICS,Lifestyle,81,15,68.85,4,275.4,Online,India,Medium,2025,8
ORD100967,2025-01-26,Nike,Basketball,198,20,158.4,4,633.6,Online,UK,Low,2025,1
ORD100971,2025-08-22,Nike,Training,71,10,63.9,2,127.8,Retail Store,UK,Low,2025,8
ORD100974,2026-05-23,New Balance,Running,99,0,99.0,1,99.0,Retail Store,Pakistan,High,2026,5
ORD100976,2026-12-05,New Balance,Running,139,5,132.05,4,528.2,Retail Store,USA,High,2026,12
ORD100983,2025-01-07,Adidas,Training,95,20,76.0,4,304.0,Retail Store,UAE,Medium,2025,1
ORD100995,2026-06-10,Reebok,Training,146,10,131.4,3,394.2,Online,UAE,Medium,2026,6
ORD100999,2025-01-13,ASICS,Gym,167,15,141.95,4,567.8,Online,Pakistan,High,2025,1
ORD101004,2025-11-28,ASICS,Lifestyle,136,15,115.6,1,115.6,Retail Store,UAE,Medium,2025,11
ORD101010,2025-05-11,Adidas,Lifestyle,110,20,88.0,1,88.0,Retail Store,USA,Medium,2025,5
ORD101014,2025-06-27,New Balance,Basketball,82,5,77.9,4,311.6,Retail Store,India,High,2025,6
ORD101018,2026-04-30,Reebok,Lifestyle,161,5,152.95,3,458.85,Online,UK,Low,2026,4
ORD101021,2026-11-25,Adidas,Gym,111,0,111.0,1,111.0,Retail Store,Germany,High,2026,11
ORD101023,2026-05-04,Adidas,Running,60,30,42.0,2,84.0,Online,USA,High,2026,5
ORD101024,2026-06-30,Nike,Gym,211,10,189.9,4,759.6,Online,Germany,Medium,2026,6
ORD101031,2026-10-17,Reebok,Lifestyle,211,30,147.7,3,443.1,Retail Store,USA,Medium,2026,10
ORD101033,2026-05-19,Adidas,Training,177,30,123.9,3,371.7,Online,Germany,Medium,2026,5
ORD101034,2026-08-06,ASICS,Gym,135,20,108.0,1,108.0,Retail Store,UK,Low,2026,8
ORD101036,2025-11-04,New Balance,Training,62,10,55.8,2,111.6,Retail Store,India,Low,2025,11
ORD101037,2025-09-01,Adidas,Training,167,10,150.3,3,450.9,Retail Store,UAE,Low,2025,9
ORD101045,2026-11-18,Adidas,Gym,97,20,77.6,1,77.6,Online,Pakistan,High,2026,11
ORD101048,2026-03-29,New Balance,Training,136,20,108.8,1,108.8,Online,UK,Low,2026,3
ORD101064,2025-04-12,ASICS,Lifestyle,158,5,150.1,3,450.3,Retail Store,UK,Medium,2025,4
ORD101068,2025-01-24,Adidas,Lifestyle,123,10,110.7,3,332.1,Retail Store,India,Low,2025,1
ORD101073,2025-11-03,ASICS,Gym,104,20,83.2,1,83.2,Retail Store,India,High,2025,11
ORD101076,2026-11-02,Puma,Basketball,97,30,67.9,1,67.9,Online,India,Low,2026,11
ORD101082,2025-09-24,Adidas,Gym,163,5,154.85,2,309.7,Retail Store,Germany,High,2025,9
ORD101089,2025-09-21,ASICS,Lifestyle,168,5,159.6,1,159.6,Online,USA,High,2025,9
ORD101092,2025-05-29,ASICS,Running,133,15,113.05,4,452.2,Online,UK,High,2025,5
ORD101099,2025-07-16,Nike,Gym,94,30,65.8,1,65.8,Online,India,Low,2025,7
ORD101104,2025-05-21,ASICS,Running,212,0,212.0,2,424.0,Online,India,Low,2025,5
ORD101105,2025-07-20,Reebok,Training,174,30,121.8,2,243.6,Online,India,Low,2025,7
ORD101106,2026-04-19,Puma,Running,137,10,123.3,2,246.6,Online,UK,Low,2026,4
ORD101109,2026-02-14,Nike,Gym,115,30,80.5,4,322.0,Retail Store,Pakistan,Low,2026,2
ORD101111,2026-05-04,Puma,Basketball,146,0,146.0,3,438.0,Online,UAE,High,2026,5
ORD101118,2025-06-13,New Balance,Training,155,20,124.0,4,496.0,Retail Store,Pakistan,Medium,2025,6
ORD101125,2025-07-02,ASICS,Lifestyle,189,15,160.65,1,160.65,Online,Pakistan,Medium,2025,7
ORD101127,2026-12-29,New Balance,Basketball,125,0,125.0,3,375.0,Online,USA,Medium,2026,12
ORD101130,2026-10-20,Nike,Gym,191,15,162.35,1,162.35,Retail Store,Germany,Low,2026,10
ORD101133,2026-08-18,Adidas,Training,115,0,115.0,1,115.0,Online,UAE,Medium,2026,8
ORD101137,2026-01-17,Reebok,Basketball,99,30,69.3,2,138.6,Retail Store,USA,High,2026,1
ORD101139,2026-04-27,New Balance,Running,137,0,137.0,3,411.0,Retail Store,Pakistan,Medium,2026,4
ORD101143,2025-08-07,Nike,Gym,216,10,194.4,1,194.4,Online,Pakistan,Medium,2025,8
ORD101149,2025-02-17,New Balance,Basketball,124,15,105.4,2,210.8,Online,Germany,Medium,2025,2
ORD101152,2025-03-29,ASICS,Running,155,10,139.5,2,279.0,Retail Store,Germany,Medium,2025,3
ORD101155,2025-02-11,Reebok,Basketball,213,20,170.4,3,511.2,Retail Store,Pakistan,High,2025,2
ORD101159,2025-11-03,Nike,Gym,146,20,116.8,2,233.6,Retail Store,USA,Medium,2025,11
ORD101160,2026-11-08,Reebok,Running,130,10,117.0,2,234.0,Online,Germany,Medium,2026,11
ORD101164,2025-06-22,Nike,Training,110,15,93.5,4,374.0,Online,UAE,Medium,2025,6
ORD101167,2025-09-07,Adidas,Training,81,5,76.95,1,76.95,Online,India,High,2025,9
ORD101171,2025-10-17,Puma,Lifestyle,153,5,145.35,3,436.05,Online,UAE,High,2025,10
ORD101179,2026-01-12,New Balance,Lifestyle,190,10,171.0,1,171.0,Retail Store,Germany,Medium,2026,1
ORD101181,2026-10-16,New Balance,Running,203,20,162.4,2,324.8,Online,UAE,Low,2026,10
ORD101184,2026-07-26,ASICS,Basketball,213,5,202.35,2,404.7,Retail Store,Pakistan,High,2026,7
ORD101194,2025-11-19,Adidas,Gym,176,10,158.4,4,633.6,Online,Pakistan,Medium,2025,11
ORD101200,2026-07-27,New Balance,Lifestyle,167,30,116.9,2,233.8,Retail Store,UK,High,2026,7
ORD101201,2025-07-05,New Balance,Running,204,10,183.6,2,367.2,Retail Store,UAE,Low,2025,7
ORD101202,2025-04-12,Nike,Running,162,15,137.7,2,275.4,Retail Store,UK,Low,2025,4
ORD101206,2025-05-16,Nike,Training,112,15,95.2,2,190.4,Online,Germany,Low,2025,5
ORD101208,2025-04-15,Adidas,Running,145,20,116.0,4,464.0,Online,Germany,High,2025,4
